iter	Passed	Remaining
649	10680	5750
650	10696	5734
651	10711	5717
652	10727	5700
653	10744	5684
654	10760	5667
655	10776	5650
656	10791	5633
657	10806	5616
658	10821	5599
659	10836	5582
660	10852	5565
661	10867	5548
662	10884	5532
663	10900	5515
664	10915	5498
665	10930	5481
666	10946	5464
667	10961	5448
668	10978	5431
669	10995	5415
670	11010	5398
671	11025	5381
672	11040	5364
673	11055	5347
674	11069	5329
675	11084	5312
676	11100	5295
677	11115	5279
678	11130	5262
679	11145	5245
680	11161	5228
681	11177	5211
682	11192	5194
683	11208	5178
684	11223	5161
685	11238	5144
686	11254	5127
687	11269	5110
688	11283	5093
689	11300	5076
690	11315	5059
691	11330	5042
692	11345	5026
693	11360	5009
694	11378	4993
695	11395	4977
696	11410	4960
697	11426	4943
698	11441	4926
699	11456	4910
700	11471	4892
701	11486	4876
702	11501	4858
703	11516	4842
704	11530	4824
705	11545	4807
706	11560	4790
707	11574	4773
708	11589	4756
709	11603	4739
710	11619	4722
711	11635	4706
712	11650	4689
713	11683	4680
714	11715	4669
715	11739	4656
716	11756	4640
717	11771	4623
718	11788	4607
719	11803	4590
720	11817	4572
721	11831	4555
722	11845	4538
723	11861	4521
724	11875	4504
725	11889	4487
726	11903	4470
727	11918	4452
728	11932	4435
729	11945	4418
730	11959	4401
731	11973	4383
732	11987	4366
733	12002	4349
734	12015	4332
735	12030	4315
736	12044	4298
737	12059	4281
738	12074	4264
739	12089	4247
740	12103	4230
741	12118	4213
742	12134	4197
743	12149	4180
744	12164	4163
745	12179	4146
746	12193	4129
747	12209	4113
748	12224	4096
749	12239	4079
750	12254	4062
751	12268	4046
752	12283	4029
753	12298	4012
754	12312	3995
755	12328	3978
756	12343	3962
757	12359	3945
758	12373	3929
759	12389	3912
760	12404	3895
761	12420	3879
762	12435	3862
763	12452	3846
764	12468	3830
765	12484	3813
766	12499	3797
767	12514	3780
768	12530	3763
769	12545	3747
770	12561	3730
771	12576	3714
772	12592	3697
773	12608	3681
774	12625	3665
775	12641	3649
776	12657	3632
777	12673	3616
778	12688	3599
779	12703	3582
780	12718	3566
781	12734	3549
782	12749	3533
783	12765	3517
784	12782	3500
785	12797	3484
786	12813	3467
787	12828	3451
788	12843	3434
789	12859	3418
790	12874	3401
791	12890	3385
792	12905	3368
793	12920	3352
794	12935	3335
795	12950	3318
796	12968	3303
797	12983	3286
798	13000	3270
799	13016	3254
800	13033	3238
801	13048	3221
802	13062	3204
803	13077	3188
804	13092	3171
805	13107	3154
806	13121	3138
807	13137	3121
808	13152	3105
809	13166	3088
810	13182	3072
811	13196	3055
812	13211	3038
813	13226	3022
814	13241	3005
815	13256	2989
816	13271	2972
817	13286	2956
818	13301	2939
819	13316	2923
820	13332	2906
821	13347	2890
822	13362	2873
823	13378	2857
824	13393	2840
825	13409	2824
826	13424	2808
827	13442	2792
828	13457	2775
829	13473	2759
830	13489	2743
831	13504	2726
832	13519	2710
833	13535	2694
834	13550	2677
835	13565	2661
836	13579	2644
837	13594	2628
838	13609	2611
839	13623	2595
840	13638	2578
841	13653	2562
842	13668	2545
843	13683	2529
844	13697	2512
845	13714	2496
846	13730	2480
847	13746	2464
848	13762	2447
849	13777	2431
850	13793	2415
851	13809	2398
852	13825	2382
853	13841	2366
854	13859	2350
855	13874	2334
856	13890	2317
857	13904	2301
858	13919	2284
859	13934	2268
860	13949	2252
861	13965	2235
862	13980	2219
863	13995	2203
864	14010	2186
865	14025	2170
866	14040	2153
867	14054	2137
868	14069	2120
869	14083	2104
870	14098	2088
871	14113	2071
872	14131	2055
873	14146	2039
874	14161	2023
875	14176	2006
876	14192	1990
877	14208	1974
878	14224	1958
879	14239	1941
880	14254	1925
881	14270	1909
882	14285	1892
883	14316	1878
884	14349	1864
885	14376	1849
886	14400	1834
887	14424	1819
888	14442	1803
889	14457	1786
890	14472	1770
891	14486	1754
892	14501	1737
893	14515	1721
894	14530	1704
895	14544	1688
896	14559	1671
897	14574	1655
898	14589	1639
899	14604	1622
900	14619	1606
901	14634	1590
902	14650	1573
903	14664	1557
904	14678	1540
905	14692	1524
906	14706	1507
907	14720	1491
908	14736	1475
909	14750	1458
910	14764	1442
911	14777	1425
912	14793	1409
913	14807	1393
914	14821	1376
915	14835	1360
916	14851	1344
917	14869	1328
918	14886	1312
919	14901	1295
920	14916	1279
921	14931	1263
922	14946	1246
923	14962	1230
924	14976	1214
925	14991	1198
926	15007	1181
927	15021	1165
928	15036	1149
929	15053	1133
930	15068	1116
931	15083	1100
932	15098	1084
933	15116	1068
934	15132	1051
935	15147	1035
936	15162	1019
937	15177	1003
938	15191	986
939	15206	970
940	15222	954
941	15236	938
942	15251	921
943	15266	905
944	15280	889
945	15294	873
946	15309	856
947	15325	840
948	15343	824
949	15360	808
950	15376	792
951	15392	776
952	15409	759
953	15424	743
954	15440	727
955	15456	711
956	15471	695
957	15485	678
958	15500	662
959	15516	646
960	15532	630
961	15548	614
962	15563	597
963	15578	581
964	15593	565
965	15610	549
966	15626	533
967	15642	517
968	15657	500
969	15672	484
970	15687	468
971	15702	452
972	15718	436
973	15734	420
974	15750	403
975	15765	387
976	15783	371
977	15799	355
978	15815	339
979	15831	323
980	15847	306
981	15863	290
982	15878	274
983	15893	258
984	15908	242
985	15923	226
986	15938	209
987	15954	193
988	15970	177
989	15986	161
990	16001	145
991	16016	129
992	16031	113
993	16047	96
994	16063	80
995	16078	64
996	16093	48
997	16108	32
998	16123	16
999	16138	0
